aptian,20
reservoir,20
evaporite,19
fault,19
carbonate reservoir,19
structural high,18
permeability,18
porosity,18
reservoir quality,17
grainstone,17
seismic data,17
unconformity,17
mudstone,16
rift phase,16
basin,15
spherulite,15
stromatolite,15
depositional environment,15
rudstone,14
coquina,14
lacustrine environment,14
dissolution,13
carbonate,12
seismic facies,12
anhydrite,12
carbonate rock,11
facies,11
formation,11
microbialite,11
packstone,11
wackestone,11
dolomite,11
stevensite,11
source rock,11
erosion,11
depositional model,11
seismic attribute,11
pre-salt,10
sag phase,10
well,10
basement,10
lithology,10
dolomitization,10
sediment,10
shale,10
diagenesis,9
early cretaceous,9
lower cretaceous,9
pre-salt reservoir,9
sedimentation,9
water depth,9
recrystallization,9
petroleum system,9
barremian,9
carbonate platform,9
well data,9
normal fault,9
deep water,9
basalt,9
drift phase,9
onlap,9
halite,9
silicification,9
volcanic rock,9
continental margin,9
lake,8
reservoir heterogeneity,8
rifting,8
structure,8
laminite,8
geological setting,8
carbonate mound,8
economic basement,8
lacustrine carbonate,8
reservoir characterization,8
calcite spherulite,8
rift section,8
well log,8
depositional process,8
hauterivian,7
igneous rock,7
clay,7
calcite,7
shrub,7
fracture,7
geometry,7
clinoform,7
post-rift phase,7
sedimentary rock,7
pre-salt section,7
salt layer,7
environmental condition,7
facies distribution,7
peloid,7
relief,7
marine geology,7
petroleum geology,7
heterogeneity,7
intraclast,7
precipitation,7
carbonate facies,7
reservoir facies,7
morphology,6
pre-salt sequence,6
reservoir property,6
rift,6
subsidence,6
texture,6
depth,6
geology,6
depositional system,6
petrography,6
tectono-stratigraphic evolution,6
half-graben,6
tectonic,6
exploration,6
accommodation space,6
fault reactivation,6
faulting,6
reworked facies,6
sedimentary basin,6
seismic interpretation,6
seismic pattern,6
tectonic activity,6
continental crust,6
sandstone,6
lamination,6
bioclast,6
diagenetic process,6
grain size,6
kerolite,6
lacustrine carbonate reservoir,6
oil field,6
ostracod,6
dip,6
crust,6
reservoir modeling,6
reworking,6
silica,6
substrate,6
spatial distribution,6
seismic reflector,6
core,5
late jurassic,5
marginal basin,5
pre-salt succession,5
salt,5
stratigraphic sequence,5
hydrocarbon,5
hydrocarbon accumulation,5
horst,5
rift fault,5
ocean,5
structural map,5
magmatic event,5
bathymetry,5
deposition,5
base of salt,5
boundstone,5
hydrothermal activity,5
lacustrine deposit,5
rifting process,5
cretaceous,5
oil accumulation,5
crustal thinning,5
carnallite,5
depocenter,5
offshore,5
acoustic impedance,5
transitional environment,5
fracturing,5
saddle dolomite,5
sag section,5
secondary porosity,5
sedimentological process,5
siliciclastic grain,5
crystal shrub,5
silica cement,5
cement,5
wave action,5
gypsum,5
fault block,5
petrophysical property,5
oil discovery,5
lacustrine system,5
shrubstone,5
thin section,5
graben,5
structural setting,5
continental breakup,5
structural low,5
erosional truncation,5
carbonate deposit,4
depositional facies,4
depositional setting,4
floatstone,4
genesis,4
geological record,4
intraclastic grainstone,4
paleoenvironment,4
pre-salt carbonate,4
reservoir characteristic,4
sag basin,4
spherulitic grainstone,4
travertine,4
pre-salt field,4
oil,4
seismic line,4
seismic survey,4
fluid,4
sequence,4
flank,4
limestone,4
alkaline lake,4
stratigraphy,4
fault system,4
volcaniclastic,4
thermal subsidence,4
deformation,4
post-rift sequence,4
basin evolution,4
carbonate system,4
seal,4
lateral heterogeneity,4
shallow water,4
alkaline lacustrine setting,4
dark shale,4
distal facies,4
downlap,4
geological context,4
in situ facies,4
mechanical subsidence,4
offshore basin,4
reservoir interval,4
sedimentation rate,4
stratigraphic unit,4
talc-stevensite ooid,4
tectonic quiescence,4
toplap,4
volcanism,4
organic matter,4
barite,4
clay matrix,4
cyclothem,4
depositional control,4
dolomite cementation,4
dolostone,4
evaporation,4
facies association,4
fluid flow,4
fluorite,4
hydrothermal vent,4
interparticle porosity,4
intercrystalline porosity,4
intraparticle porosity,4
marine carbonate,4
metamorphic rock,4
microcrystalline calcite,4
oil production,4
ooid,4
pore system,4
quartz,4
regional unconformity,4
syngenetic precipitation,4
transfer zone,4
albian,4
replacement,4
wave base,4
composition,4
salt deposition,4
carbonate build-up,4
margin,4
trap,4
sedimentary facies,4
abiotic precipitation,4
accumulation,4
geological model,4
marine environment,4
marine fossil,4
marine setting,4
ocean opening,4
reservoir rock,4
sedimentary succession,4
thickness,4
wave,4
petroleum province,4
framestone,4
cementstone,4
rock type,4
hydrocarbon province,4
lithofacies,4
abiotic origin,4
matrix,4
diagenetic constituent,4
bedding,4
silica nodule,4
lacustrine carbonate platform,4
borehole image log,4
structural interpretation,4
pre-alagoas unconformity,4
lateral continuity,4
mound,4
stratigraphic succession,4
carbonate succession,3
conjugate margin,3
hydrocarbon reserve,3
mg-rich clay,3
